geneID	geneSymb	ORF	SGD_id
gene10	YCT1	YLL055W	S000003978
gene100	STT4	YLR305C	S000004296
gene1000	TAM41	YGR046W	S000003278
gene1001	TID3	NA	NA
gene1002	SSL2	YIL143C	S000001405
gene1004	LPX1	YOR084W	S000005610
gene1005	GRX5	YPL059W	S000005980
gene1006	PRP16	YKR086W	S000001794
gene1007	FMP52	YER004W	S000000806
gene1009	IPL1	YPL209C	S000006130
gene101	TIF6	YPR016C	S000006220
gene1010	MRH4	YGL064C	S000003032
gene1011	SRP72	YPL210C	S000006131
gene1012	NIP7	YPL211W	S000006132
gene1013	PUS1	YPL212C	S000006133
gene1015	ARG2	YJL071W	S000003607
gene1016	PSF2	YJL072C	S000003608
gene1017	YBR271W	YBR271W	S000000475
gene1018	ARO4	YBR249C	S000000453
gene102	HSP104	YLL026W	S000003949
gene1023	BDF1	YLR399C	S000004391
gene1024	MET8	YBR213W	S000000417
gene1027	ERV14	YGL054C	S000003022
gene1029	ECI1	YLR284C	S000004274
gene103	ACO1	YLR304C	S000004295
gene1030	YLR283W	NA	NA
gene1033	GUF1	YLR289W	S000004280
gene1034	SEC31	YDL195W	S000002354
gene1035	SYG1	YIL047C	S000001309
gene1036	NEO1	YIL048W	S000001310
gene1037	HIS1	YER055C	S000000857
gene104	RIM4	YHL024W	S000001016
gene1040	RPL34A	YER056C-A	S000002135
gene1041	AIM38	NA	NA
gene1042	DCW1	YKL046C	S000001529
gene1043	ILV1	YER086W	S000000888
gene1045	SSL1	YLR005W	S000003995
gene1046	SMF2	YHR050W	S000001092
gene1047	SMM1	YNR015W	S000005298
gene1048	TIM23	YNR017W	S000005300
gene1049	ACC1	YNR016C	S000005299
gene105	RRI1	YDL216C	S000002375
gene1050	RRT12	YCR045C	S000000641
gene1052	MET3	YJR010W	S000003771
gene1053	PDX1	YGR193C	S000003425
gene1054	YNR063W	NA	NA
gene1055	YNR062C	NA	NA
gene1056	MCH1	YDL054C	S000002212
gene106	NPR1	YNL183C	S000005127
gene1062	CKA2	YOR061W	S000005587
gene1064	ERB1	YMR049C	S000004652
gene1065	PGM2	YMR105C	S000004711
gene1066	TAF14	YPL129W	S000006050
gene1068	AIM41	YOR215C	S000005741
gene1069	RUD3	YOR216C	S000005742
gene107	MRPL19	YNL185C	S000005129
gene1070	RFC1	YOR217W	S000005743
gene1072	MKK1	YOR231W	S000005757
gene1073	MGE1	YOR232W	S000005758
gene1074	FRK1	YPL141C	S000006062
gene1076	DFR1	YOR236W	S000005762
gene1077	RSA4	YCR072C	S000000668
gene1078	RAI1	YGL246C	S000003215
gene1079	KES1	YPL145C	S000006066
gene108	UBP10	YNL186W	S000005130
gene1080	SSK2	YNR031C	S000005314
gene1081	PPG1	YNR032W	S000005315
gene1082	ZRG17	YNR039C	S000005322
gene1083	TBF1	YPL128C	S000006049
gene1084	HHO1	YPL127C	S000006048
gene1088	URB1	YKL014C	S000001497
gene1089	HCM1	YCR065W	S000000661
gene109	YNL181W	YNL181W	S000005125
gene1095	PGK1	YCR012W	S000000605
gene1096	ARG82	YDR173C	S000002580
gene1097	SSO2	YMR183C	S000004795
gene1098	FAS2	YPL231W	S000006152
gene1099	STB3	YDR169C	S000002576
gene110	IPI3	YNL182C	S000005126
gene1100	STM1	YLR150W	S000004140
gene1101	SEC7	YDR170C	S000002577
gene1104	NDE1	YMR145C	S000004753
gene1105	DRE2	YKR071C	S000001779
gene1107	CMK2	YOL016C	S000005376
gene1108	HEM3	YDL205C	S000002364
gene1109	YDR248C	NA	NA
gene1110	ERG10	YPL028W	S000005949
gene1111	SSN3	YPL042C	S000005963
gene1112	YPL041C	YPL041C	S000005962
gene1114	COY1	YKL179C	S000001662
gene1115	SWI3	YJL176C	S000003712
gene1116	ATG7	YHR171W	S000001214
gene1117	SDA1	YGR245C	S000003477
gene1118	NNK1	YKL171W	S000001654
gene112	NOP6	YDL213C	S000002372
gene1120	ERG20	YJL167W	S000003703
gene1121	HST2	YPL015C	S000005936
gene1122	TAE2	NA	NA
gene1123	RET3	YPL010W	S000005931
gene1124	TAF3	YPL011C	S000005932
gene1125	RRP12	YPL012W	S000005933
gene1126	MRPS16	YPL013C	S000005934
gene1127	YPL014W	YPL014W	S000005935
gene1128	STB5	YHR178W	S000001221
gene1129	THG1	YGR024C	S000003256
gene1130	RPA135	YPR010C	S000006214
gene1131	PMR1	YGL167C	S000003135
gene1134	UBC12	YLR306W	S000004297
gene1135	RRP8	YDR083W	S000002490
gene1136	STN1	YDR082W	S000002489
gene1143	THO1	YER063W	S000000865
gene1144	VHR1	YIL056W	S000001318
gene1146	ICL1	YER065C	S000000867
gene1147	GCN4	YEL009C	S000000735
gene1149	AGE2	YIL044C	S000001306
gene115	RPS3	YNL178W	S000005122
gene1152	PLP2	YOR281C	S000005807
gene1153	CWC22	YGR278W	S000003510
gene1154	ENP2	YGR145W	S000003377
gene1156	YOL057W	NA	NA
gene1158	EMW1	YNL313C	S000005257
gene1159	PEX8	YGR077C	S000003309
gene116	SHR3	YDL212W	S000002371
gene1160	YOL073C	YOL073C	S000005434
gene1161	PAC10	YGR078C	S000003310
gene1162	RPS19A	YOL121C	S000005481
gene1163	TRM11	YOL124C	S000005484
gene1164	HRP1	YOL123W	S000005483
gene1165	DFG10	YIL049W	S000001311
gene1166	DBP10	YDL031W	S000002189
gene1167	TPK2	YPL203W	S000006124
gene1168	MNP1	YGL068W	S000003036
gene1169	RPB9	YGL070C	S000003038
gene117	MRPL22	YNL177C	S000005121
gene1170	MCM6	YGL201C	S000003169
gene1172	YIL108W	NA	NA
gene1173	CAK1	YFL029C	S000001865
gene1175	SPT8	YLR055C	S000004045
gene1176	CAF16	YFL028C	S000001866
gene1177	ERG3	YLR056W	S000004046
gene118	MOH1	YBL049W	S000000145
gene1180	YLR050C	NA	NA
gene1183	YCR090C	NA	NA
gene1185	TRM112	YNR046W	S000005329
gene1186	FPK1	YNR047W	S000005330
gene1187	MSH3	YCR092C	S000000688
gene1188	CWC21	YDR482C	S000002890
gene1190	PEF1	YGR058W	S000003290
gene1192	PIK1	YNL267W	S000005211
gene1193	GPI13	YLL031C	S000003954
gene1196	RVS161	YCR009C	S000000602
gene1197	SAT4	YCR008W	S000000601
gene1198	NPR3	YHL023C	S000001015
gene120	NOP13	YNL175C	S000005119
gene1200	YLL032C	NA	NA
gene1201	CKI1	YLR133W	S000004123
gene1203	SNO1	YMR095C	S000004701
gene1204	SNZ2	YNL333W	S000005277
gene1206	AIM17	YHL021C	S000001013
gene1207	MEP2	YNL142W	S000005086
gene1209	VPS38	YLR360W	S000004352
gene121	UGP1	YKL035W	S000001518
gene1210	TIM22	YDL217C	S000002376
gene1211	DUG3	YNL191W	S000005135
gene1213	DTD1	YDL219W	S000002378
gene1215	YNL011C	NA	NA
gene1216	UPS1	YLR193C	S000004183
gene1217	UGA3	YDL170W	S000002329
gene1218	UGX2	YDL169C	S000002328
gene1219	NOP56	YLR197W	S000004187
gene122	RRP36	YOR287C	S000005813
gene1220	PBA1	YLR199C	S000004189
gene1221	YKE2	YLR200W	S000004190
gene1222	COQ9	YLR201C	S000004191
gene1223	CBF1	YJR060W	S000003821
gene1224	NTA1	YJR062C	S000003823
gene1225	MNN4	YKL201C	S000001684
gene1227	CWC24	YLR323C	S000004315
gene1228	PEX30	YLR324W	S000004316
gene1229	TFG2	YGR005C	S000003237
gene123	MPD1	YOR288C	S000005814
gene1230	PRP18	YGR006W	S000003238
gene1231	WSC3	YOL105C	S000005465
gene1233	ALG11	YNL048W	S000004993
gene1234	SLM1	YIL105C	S000001367
gene1235	MOB1	YIL106W	S000001368
gene1237	LYS21	YDL131W	S000002289
gene1238	RPS9A	YPL081W	S000006002
gene1239	RPL21B	YPL079W	S000006000
gene124	GLN3	YER040W	S000000842
gene1240	RIM2	YBR192W	S000000396
gene1241	BEM3	YPL115C	S000006036
gene1242	LIP5	YOR196C	S000005722
gene1243	BGL2	YGR282C	S000003514
gene1244	YMR310C	NA	NA
gene1245	BFR1	YOR198C	S000005724
gene1246	IDI1	YPL117C	S000006038
gene1247	MCA1	YOR197W	S000005723
gene1250	FLR1	YBR008C	S000000212
gene1252	GEA2	YEL022W	S000000748
gene1253	PEX7	YDR142C	S000002549
gene1254	SPT21	YMR179W	S000004791
gene1255	SPO71	YDR104C	S000002511
gene1259	STE5	YDR103W	S000002510
gene126	DUG1	YFR044C	S000001940
gene1263	RTC1	YOL138C	S000005498
gene1269	ALG13	YGL047W	S000003015
gene1271	ADE1	YAR015W	S000000070
gene1272	KIN3	YAR018C	S000000071
gene1273	SEC6	YIL068C	S000001330
gene1276	RTT105	YER104W	S000000906
gene1277	RRP40	YOL142W	S000005502
gene1278	FIG4	YNL325C	S000005269
gene1279	PPM2	YOL141W	S000005501
gene128	SDT1	YGL224C	S000003192
gene1280	ILV3	YJR016C	S000003777
gene1281	MLS1	YNL117W	S000005061
gene1282	DAS2	YDR020C	S000002427
gene1286	SES1	YDR023W	S000002430
gene1287	GIP1	YBR045C	S000000249
gene1288	ATP3	YBR039W	S000000243
gene1293	YER077C	YER077C	S000000879
gene1295	PCI8	YIL071C	S000001333
gene1298	GPI1	YGR216C	S000003448
gene1299	RPS0A	YGR214W	S000003446
gene130	COX5B	YIL111W	S000001373
gene1300	FRE8	YLR047C	S000004037
gene1302	AMA1	YGR225W	S000003457
gene1303	MTC6	YHR151C	S000001194
gene1304	DIE2	YGR227W	S000003459
gene1306	PHB2	YGR231C	S000003463
gene1307	NAS6	YGR232W	S000003464
gene1309	ZPR1	YGR211W	S000003443
gene1310	CMC1	YKL137W	S000001620
gene1311	SPC24	YMR117C	S000004723
gene1312	MRPL31	YKL138C	S000001621
gene1313	YAP7	YOL028C	S000005388
gene1314	YMR118C	YMR118C	S000004724
gene1315	AIM9	YER080W	S000000882
gene1317	CYS3	YAL012W	S000000010
gene1319	RPS15	YOL040C	S000005400
gene1320	DEP1	YAL013W	S000000011
gene1321	NOP12	YOL041C	S000005401
gene1322	LAP3	YNL239W	S000005183
gene1323	RRT8	YOL048C	S000005408
gene1324	GSH2	YOL049W	S000005409
gene1325	STT3	YGL022W	S000002990
gene1326	KIP3	YGL216W	S000003184
gene1327	GAL83	YER027C	S000000829
gene1328	MDM34	YGL219C	S000003187
gene1330	SKI8	YGL213C	S000003181
gene1331	LAS1	YKR063C	S000001771
gene1332	VPS35	YJL154C	S000003690
gene1333	TSR1	YDL060W	S000002218
gene1334	REH1	YLR387C	S000004379
gene1335	VAC14	YLR386W	S000004378
gene1337	STE23	YLR389C	S000004381
gene1340	YNL247W	NA	NA
gene1343	POP1	YNL221C	S000005165
gene1345	JJJ1	YNL227C	S000005171
gene1347	SQS1	YNL224C	S000005168
gene1348	ATG4	YNL223W	S000005167
gene1349	SSU72	YNL222W	S000005166
gene135	ATP11	YNL315C	S000005259
gene1350	GUD1	YDL238C	S000002397
gene1353	SMB1	YER029C	S000000831
gene1354	CHZ1	YER030W	S000000832
gene1355	YPT32	YGL210W	S000003178
gene1356	SPT16	YGL207W	S000003175
gene1357	SOK2	YMR016C	S000004618
gene1360	CSR1	YLR380W	S000004372
gene1362	CDC24	YAL041W	S000000039
gene1363	NAM2	YLR382C	S000004374
gene1364	SMC6	YLR383W	S000004375
gene1365	CTF3	YLR381W	S000004373
gene1366	NIF3	YGL221C	S000003189
gene1367	MRPS35	YGR165W	S000003397
gene1369	POX1	YGL205W	S000003173
gene1370	ESF2	YNR054C	S000005337
gene1372	ESP1	YGR098C	S000003330
gene1376	MRI1	YPR118W	S000006322
gene1378	CHC1	YGL206C	S000003174
gene138	TMN3	YER113C	S000000915
gene1381	MPH1	YIR002C	S000001441
gene1383	ADE6	YGR061C	S000003293
gene1386	ATG11	YPR049C	S000006253
gene1387	RFC5	YBR087W	S000000291
gene1388	MRPL16	YBL038W	S000000134
gene1389	MSF1	YPR047W	S000006251
gene1390	TAH18	YPR048W	S000006252
gene1396	MSS1	YMR023C	S000004625
gene1399	PDE1	YGL248W	S000003217
gene140	TEL1	YBL088C	S000000184
gene1400	PRE4	YFR050C	S000001946
gene1402	PIL1	YGR086C	S000003318
gene1406	TRA1	YHR099W	S000001141
gene1407	GEP4	YHR100C	S000001142
gene141	RPL23B	YER117W	S000000919
gene1410	RAD30	YDR419W	S000002827
gene1413	OXA1	YER154W	S000000956
gene1415	YER152C	NA	NA
gene142	SLX8	YER116C	S000000918
gene1421	UBP3	YER151C	S000000953
gene1427	RPS2	YGL123W	S000003091
gene1428	NAB2	YGL122C	S000003090
gene1429	YGL140C	NA	NA
gene1430	COQ8	YGL119W	S000003087
gene1431	PRP43	YGL120C	S000003088
gene1433	MOT2	YER068W	S000000870
gene1434	KAP114	YGL241W	S000003210
gene1436	RMD8	YFR048W	S000001944
gene1437	GUS1	YGL245W	S000003214
gene1439	CAN1	YEL063C	S000000789
gene1440	YGR001C	YGR001C	S000003233
gene1441	NUP60	YAR002W	S000000063
gene1442	ERG26	YGL001C	S000002969
gene1444	VPS8	YAL002W	S000000002
gene1446	ARO8	YGL202W	S000003170
gene1448	SHG1	YBR258C	S000000462
gene1449	APE3	YBR286W	S000000490
gene145	BOI2	YER114C	S000000916
gene1452	SEO1	YAL067C	S000000062
gene1453	SMD3	YLR147C	S000004137
gene1454	MIR1	YJR077C	S000003838
gene1456	SAC1	YKL212W	S000001695
gene1457	DOA1	YKL213C	S000001696
gene1458	YCF1	YDR135C	S000002542
gene146	CDC27	YBL084C	S000000180
gene1463	LAS17	YOR181W	S000005707
gene1465	POP8	YBL018C	S000000114
gene1467	YPT10	YBR264C	S000000468
gene1468	IKS1	YJL057C	S000003593
gene147	SHO1	YER118C	S000000920
gene1471	TAE1	YBR261C	S000000465
gene1473	YKR096W	YKR096W	S000001804
gene1474	MIS1	YBR084W	S000000288
gene1475	RAD27	YKL113C	S000001596
gene1476	MSH2	YOL090W	S000005450
gene1479	KTI12	YKL110C	S000001593
gene148	UBR1	YGR184C	S000003416
gene1480	ATP25	YMR098C	S000004704
gene1481	YAP3	YHL009C	S000001001
gene1482	UTP15	YMR093W	S000004699
gene1483	AIP1	YMR092C	S000004698
gene1485	MTC2	YKL098W	S000001581
gene1486	VPS1	YKR001C	S000001709
gene1488	PAP1	YKR002W	S000001710
gene1489	OSH6	YKR003W	S000001711
gene149	URB2	YJR041C	S000003802
gene1492	YTA12	YMR089C	S000004695
gene1493	NPL6	YMR091C	S000004697
gene1494	SGF73	YGL066W	S000003034
gene1495	ALG2	YGL065C	S000003033
gene1496	GYP6	YJL044C	S000003580
gene1497	MHP1	YJL042W	S000003578
gene1498	RCN1	YKL159C	S000001642
gene1499	CIC1	YHR052W	S000001094
gene15	KAP104	YBR017C	S000000221
gene150	UIP4	YPL186C	S000006107
gene1500	ELF1	YKL160W	S000001643
gene1502	RKR1	YMR247C	S000004861
gene1503	SRC1	YML034W	S000004497
gene1504	AMD1	YML035C	S000004498
gene1505	PFA5	YDR459C	S000002867
gene1506	CGI121	YML036W	S000004500
gene1507	YJL218W	NA	NA
gene151	TPN1	YGL186C	S000003154
gene1510	MRPL28	YDR462W	S000002870
gene1511	PHO81	YGR233C	S000003465
gene1513	GAA1	YLR088W	S000004078
gene1514	CSF1	YLR087C	S000004077
gene1515	BAG7	YOR134W	S000005660
gene1516	IES1	YFL013C	S000001881
gene1517	YKT6	YKL196C	S000001679
gene1518	VTS1	YOR359W	S000005886
gene1519	PDE2	YOR360C	S000005887
gene1520	GCV3	YAL044C	S000000042
gene1521	YAL044W-A	YAL044W-A	S000007586
gene1522	SNC2	YOR327C	S000005854
gene1523	MYO2	YOR326W	S000005853
gene1525	YLR031W	NA	NA
