	p_pred	n_ume	n_me
44336	5.078989318008098e-08	0.0	19.0
186914	9.809147627493076e-08	1.0	10.0
44339	1.2754202316500596e-07	0.0	14.0
44338	2.641998548824631e-07	0.0	19.0
284868	3.748417327642528e-07	0.0	26.0
3959	3.953567784265033e-07	0.0	36.0
186913	4.534253434940183e-07	0.0	15.0
243429	4.832610329685849e-07	0.0	15.0
44337	5.222876211519178e-07	0.0	16.0
420632	5.266485914035002e-07	0.0	16.0
145158	5.458753662423987e-07	0.0	26.0
57152	5.519382284546737e-07	0.0	20.0
480159	5.643312874781259e-07	0.0	23.0
145140	5.728810492655612e-07	0.0	23.0
281876	6.160064458526904e-07	0.0	26.0
57151	6.50808033242356e-07	0.0	9.0
207120	7.736381917311519e-07	0.0	14.0
32837	8.268845022030291e-07	0.0	20.0
369723	8.575652827857994e-07	0.0	13.0
378603	8.713765282664099e-07	0.0	11.0
284869	9.168816745841468e-07	0.0	28.0
145157	9.85465590019885e-07	0.0	6.0
480160	1.0654700872692047e-06	0.0	12.0
112107	1.1074297390223364e-06	0.0	18.0
35677	1.1361660199327162e-06	0.0	16.0
71338	1.2107764177926583e-06	1.0	12.0
3958	1.2494058410084108e-06	0.0	27.0
112108	1.2695896884906688e-06	0.0	22.0
35678	1.2828535318476497e-06	0.0	16.0
194842	1.5534592421317939e-06	0.0	17.0
120835	1.6258251207545982e-06	0.0	19.0
145139	1.784055029929732e-06	0.0	4.0
486326	1.8773744159261696e-06	0.0	22.0
500345	2.05527180696663e-06	0.0	13.0
420631	2.0994391434214776e-06	0.0	26.0
502370	2.1651053430105094e-06	0.0	15.0
194841	2.41057409766654e-06	0.0	17.0
186917	2.687986352611915e-06	0.0	14.0
319605	2.773537062239484e-06	0.0	12.0
317413	2.8051092613168294e-06	0.0	14.0
73742	2.9349359920161078e-06	0.0	16.0
502369	2.9504917620215565e-06	0.0	14.0
32838	3.0813584999123123e-06	0.0	17.0
71336	3.3329022244288353e-06	0.0	12.0
5265	3.34965625370387e-06	1.0	29.0
207119	3.647940047812881e-06	0.0	18.0
5264	3.6702913348563015e-06	0.0	34.0
281877	3.677445647554123e-06	0.0	22.0
338057	3.930907951144036e-06	2.0	15.0
71334	4.1310313463327475e-06	0.0	12.0
