	p_pred	n_ume	n_me
147249	0.009939707815647125	0.0	15.0
475069	0.009868922643363476	0.0	7.0
387053	0.009717755019664764	0.0	16.0
442505	0.009690632112324238	0.0	13.0
4768	0.009666992351412773	0.0	40.0
488972	0.009572726674377918	0.0	15.0
473221	0.009553843177855015	0.0	21.0
60052	0.009547154419124126	0.0	11.0
408085	0.009494521655142307	0.0	28.0
480974	0.0094684399664402	0.0	18.0
142072	0.00939892791211605	0.0	17.0
165378	0.009383894503116608	0.0	18.0
415387	0.009368865750730038	0.0	15.0
319582	0.009351556189358234	0.0	33.0
108256	0.009326519444584846	3.0	18.0
201678	0.009326075203716755	0.0	14.0
478438	0.009309815242886543	0.0	11.0
477849	0.00928819365799427	0.0	27.0
496715	0.009277413599193096	0.0	17.0
448718	0.009232175536453724	0.0	7.0
180809	0.009226994588971138	0.0	29.0
428976	0.009223573841154575	0.0	15.0
347448	0.00922317709773779	0.0	24.0
1389	0.00922197476029396	0.0	30.0
440592	0.009215377271175385	0.0	19.0
289276	0.009210949763655663	0.0	19.0
5974	0.009207678027451038	0.0	13.0
11449	0.009190002456307411	0.0	14.0
256766	0.009185953065752983	0.0	21.0
136236	0.009166534058749676	0.0	14.0
489030	0.009154320694506168	0.0	20.0
505284	0.009148024953901768	0.0	31.0
424796	0.009136803448200226	0.0	14.0
353976	0.009122688323259354	0.0	14.0
475895	0.009112276136875153	0.0	23.0
171393	0.009108509868383408	0.0	20.0
130867	0.009105149656534195	0.0	16.0
92234	0.009082046337425709	0.0	16.0
4394	0.00906503014266491	0.0	28.0
331426	0.009056774899363518	0.0	11.0
393453	0.009053690358996391	0.0	24.0
171353	0.009041167795658112	0.0	18.0
289259	0.009014936164021492	0.0	23.0
80391	0.0090062590315938	0.0	9.0
63332	0.009005071595311165	0.0	18.0
192127	0.008985500782728195	0.0	15.0
350871	0.008977568708360195	0.0	17.0
186913	0.008945336565375328	2.0	12.0
121137	0.008935818448662758	0.0	18.0
450102	0.008931444026529789	0.0	24.0
