	p_pred	n_ume	n_me
292495	0.22802278399467468	1.0	12.0
470995	0.21145200729370117	1.0	11.0
496036	0.1966055929660797	0.0	15.0
299766	0.19429506361484528	4.0	6.0
299756	0.1912546455860138	2.0	6.0
486488	0.1881665736436844	0.0	8.0
422593	0.1878376603126526	0.0	15.0
223995	0.18730895221233368	1.0	8.0
101238	0.18312160670757294	4.0	1.0
308739	0.1799631416797638	0.0	15.0
351652	0.17866748571395874	1.0	7.0
132594	0.17678561806678772	1.0	4.0
188885	0.17334885895252228	0.0	5.0
376758	0.17329399287700653	0.0	5.0
172039	0.17321157455444336	0.0	21.0
407117	0.17218762636184692	2.0	11.0
321329	0.1690930426120758	5.0	8.0
462723	0.1680312156677246	0.0	10.0
121119	0.16401097178459167	0.0	15.0
493542	0.16359278559684753	0.0	9.0
68242	0.16270262002944946	1.0	6.0
308614	0.15975993871688843	3.0	10.0
358479	0.1596331000328064	0.0	8.0
386887	0.15873649716377258	2.0	11.0
130485	0.15855924785137177	0.0	13.0
198295	0.15808549523353577	3.0	16.0
456925	0.15799082815647125	0.0	13.0
236051	0.1567239910364151	0.0	11.0
251421	0.1558602750301361	0.0	14.0
267376	0.15581665933132172	2.0	5.0
184405	0.1539417952299118	2.0	13.0
417129	0.15359346568584442	0.0	22.0
243006	0.15308988094329834	0.0	8.0
397504	0.15204311907291412	1.0	11.0
48235	0.15129664540290833	2.0	10.0
314732	0.1508682668209076	0.0	12.0
396718	0.14904586970806122	1.0	7.0
79005	0.1473926454782486	0.0	14.0
279593	0.14713215827941895	0.0	10.0
7926	0.14650845527648926	3.0	20.0
34580	0.1422891765832901	1.0	10.0
338545	0.1421879678964615	0.0	11.0
76563	0.1413026750087738	2.0	18.0
235760	0.14127513766288757	3.0	19.0
280344	0.14112330973148346	1.0	14.0
25930	0.14022010564804077	0.0	12.0
144955	0.13784877955913544	3.0	5.0
346590	0.1375444233417511	5.0	11.0
215904	0.13730217516422272	2.0	11.0
205949	0.1369389295578003	1.0	6.0
