	p_pred	n_ume	n_me
432447	0.15824781358242035	1.0	11.0
169470	0.14030343294143677	1.0	6.0
414065	0.14011524617671967	4.0	7.0
29026	0.1395249217748642	1.0	8.0
475122	0.13533027470111847	0.0	9.0
404996	0.13529647886753082	4.0	12.0
161705	0.13510356843471527	0.0	11.0
430377	0.13375526666641235	0.0	10.0
226421	0.13310305774211884	2.0	9.0
230856	0.13260868191719055	1.0	13.0
169513	0.13232767581939697	4.0	10.0
377520	0.1310957968235016	0.0	19.0
456732	0.13072849810123444	1.0	7.0
323456	0.13031607866287231	0.0	11.0
364190	0.12840314209461212	1.0	4.0
352008	0.12750598788261414	2.0	7.0
367051	0.12724420428276062	1.0	10.0
162784	0.12691497802734375	3.0	10.0
59030	0.12633423507213593	0.0	8.0
287842	0.12619860470294952	5.0	5.0
376769	0.12610164284706116	2.0	15.0
279786	0.12495274841785431	2.0	10.0
132670	0.12477750331163406	0.0	4.0
445479	0.12429190427064896	1.0	7.0
175534	0.12283648550510406	2.0	12.0
285636	0.12239507585763931	6.0	11.0
300747	0.12196096777915955	1.0	13.0
425705	0.12138114124536514	0.0	14.0
57844	0.12108670920133591	2.0	8.0
404403	0.1208191066980362	1.0	18.0
101363	0.11937874555587769	1.0	7.0
442106	0.11926733702421188	2.0	10.0
349940	0.11879485100507736	1.0	11.0
362726	0.11871204525232315	0.0	9.0
215276	0.11814717203378677	2.0	7.0
480826	0.11625392735004425	1.0	15.0
354339	0.11574029177427292	1.0	11.0
384197	0.11532969772815704	2.0	7.0
488148	0.11494836211204529	5.0	5.0
371833	0.11448856443166733	1.0	10.0
49286	0.11421983689069748	1.0	12.0
245254	0.11404680460691452	0.0	5.0
442109	0.11381684988737106	1.0	11.0
410343	0.11294025927782059	2.0	8.0
166913	0.11285284906625748	0.0	15.0
463022	0.11271578073501587	0.0	12.0
422652	0.11218952387571335	0.0	7.0
333563	0.11217552423477173	1.0	8.0
413871	0.11191660910844803	1.0	1.0
387635	0.11035394668579102	0.0	7.0
