	p_pred	n_ume	n_me
223995	0.5087248682975769	4.0	3.0
425295	0.5036556124687195	8.0	7.0
221567	0.48349130153656006	0.0	6.0
23953	0.4687858521938324	7.0	10.0
232947	0.4666244089603424	3.0	8.0
442625	0.46659430861473083	3.0	9.0
96855	0.46082553267478943	4.0	1.0
87304	0.45252755284309387	5.0	9.0
354616	0.4510611593723297	3.0	0.0
439796	0.4437606930732727	8.0	2.0
481730	0.4433198571205139	3.0	15.0
7926	0.442596435546875	16.0	5.0
291738	0.4425024688243866	10.0	12.0
116488	0.4410247206687927	0.0	17.0
465405	0.44075778126716614	8.0	6.0
217749	0.4406847059726715	5.0	2.0
337601	0.440372109413147	3.0	3.0
29507	0.4400615394115448	4.0	5.0
361673	0.4391337037086487	6.0	2.0
288375	0.43614649772644043	2.0	11.0
486488	0.4354725182056427	2.0	4.0
351147	0.4353088140487671	2.0	4.0
215282	0.43141818046569824	7.0	10.0
225878	0.42991116642951965	1.0	13.0
330078	0.42788514494895935	9.0	3.0
292288	0.42594876885414124	5.0	11.0
21453	0.4256186783313751	5.0	14.0
462723	0.4251091778278351	2.0	4.0
323855	0.424964964389801	11.0	7.0
158779	0.4247682988643646	13.0	13.0
402158	0.4246123135089874	1.0	33.0
275350	0.4231913387775421	4.0	7.0
400253	0.42267441749572754	13.0	8.0
507752	0.4215564727783203	15.0	9.0
458368	0.4209944009780884	0.0	7.0
207872	0.42024609446525574	4.0	3.0
308614	0.4200441539287567	7.0	12.0
92967	0.4198618531227112	8.0	4.0
267376	0.41835281252861023	10.0	3.0
34138	0.4174451529979706	2.0	11.0
90936	0.416792631149292	5.0	6.0
65932	0.4164804220199585	3.0	8.0
243006	0.41640761494636536	2.0	8.0
236051	0.4161779582500458	14.0	3.0
288554	0.4138866364955902	2.0	2.0
341602	0.4134456217288971	5.0	5.0
76563	0.4133664071559906	6.0	5.0
132641	0.4127246141433716	3.0	9.0
228333	0.4121137857437134	3.0	7.0
424000	0.41202887892723083	5.0	7.0
