	p_pred	n_ume	n_me
44336	1.0268380492561846e-06	0.0	17.0
44338	1.1910074135812465e-06	1.0	15.0
186914	1.2053660611854866e-06	0.0	6.0
120835	1.594812260918843e-06	0.0	16.0
243429	1.9006002958121826e-06	0.0	13.0
186917	2.1118148652021773e-06	1.0	20.0
44339	2.137570390914334e-06	0.0	9.0
71336	2.4713542643439723e-06	0.0	20.0
284869	2.475125711498549e-06	0.0	18.0
486326	2.5154606646538014e-06	0.0	8.0
281876	2.55625286627037e-06	0.0	31.0
82952	2.7222197331866482e-06	0.0	8.0
71338	2.8151512196927797e-06	0.0	21.0
3959	2.839896978912293e-06	0.0	26.0
186913	2.8627709980355576e-06	0.0	21.0
145158	3.1345336992671946e-06	0.0	17.0
284868	3.1466427117265994e-06	0.0	24.0
73742	3.2110276606545085e-06	0.0	13.0
71334	3.5312639283802127e-06	0.0	20.0
5264	3.65460846296628e-06	0.0	27.0
112108	3.6894771255902015e-06	0.0	12.0
369723	4.063849246449536e-06	0.0	19.0
57151	4.117395292269066e-06	0.0	7.0
145140	4.128156433580443e-06	0.0	15.0
35677	4.191250354779186e-06	0.0	16.0
500345	4.230689228279516e-06	0.0	23.0
319605	4.3752793317253236e-06	0.0	7.0
480159	4.49655362899648e-06	0.0	11.0
338057	4.629852810467128e-06	0.0	12.0
145157	5.2435607358347625e-06	0.0	6.0
317413	6.152423793537309e-06	0.0	16.0
41797	6.177511295391014e-06	0.0	13.0
145139	6.2530007198802195e-06	1.0	5.0
480160	6.33977833786048e-06	0.0	11.0
194842	6.383667368936585e-06	0.0	13.0
57152	6.550324542331509e-06	0.0	19.0
32837	7.029366770439083e-06	0.0	19.0
35678	7.424678187817335e-06	0.0	14.0
120834	7.941937838040758e-06	0.0	8.0
463970	8.504547622578684e-06	0.0	12.0
382802	8.514691216987558e-06	0.0	11.0
420632	8.60779982758686e-06	0.0	12.0
71337	8.935741789173335e-06	0.0	4.0
486325	8.9415716502117e-06	0.0	15.0
386853	9.104468517762143e-06	0.0	17.0
374782	9.486585440754425e-06	0.0	10.0
3958	9.518129445496015e-06	0.0	20.0
71335	1.0032944373961072e-05	0.0	4.0
186918	1.0392440344730858e-05	0.0	6.0
5265	1.0403586202301085e-05	0.0	19.0
