	p_pred	n_ume	n_me
362494	0.0020662988536059856	0.0	18.0
174918	0.0020667375065386295	0.0	9.0
138962	0.0021135411225259304	0.0	18.0
296757	0.0021161565091460943	0.0	24.0
475389	0.002137057948857546	0.0	21.0
102912	0.002171842148527503	0.0	9.0
458269	0.0021918986458331347	0.0	13.0
313636	0.002220640191808343	0.0	23.0
311283	0.002228493569418788	0.0	31.0
452693	0.0022297408431768417	0.0	15.0
25076	0.002236769301816821	0.0	13.0
44805	0.002270479453727603	0.0	35.0
5806	0.002284018788486719	0.0	41.0
186223	0.002285074209794402	0.0	16.0
199176	0.0023142551071941853	0.0	12.0
456771	0.002318823244422674	0.0	29.0
306519	0.0023226519115269184	0.0	13.0
272189	0.0023395479656755924	0.0	20.0
208146	0.0023413160815835	0.0	13.0
452211	0.002349948277696967	0.0	12.0
88398	0.0023505855351686478	0.0	17.0
187070	0.0023513741325587034	0.0	24.0
168594	0.002354222582653165	0.0	21.0
398171	0.0023603816516697407	0.0	12.0
394364	0.0023606366012245417	1.0	15.0
192207	0.0023627441842108965	0.0	16.0
423036	0.0023822621442377567	0.0	18.0
331861	0.002385752974078059	0.0	11.0
486421	0.0023950347676873207	0.0	14.0
421945	0.00239607528783381	0.0	20.0
87956	0.002398849930614233	0.0	6.0
329427	0.002412767382338643	0.0	6.0
213141	0.002415094757452607	0.0	15.0
122247	0.002428686711937189	1.0	11.0
400624	0.002437562681734562	0.0	27.0
373771	0.002445615828037262	0.0	15.0
396577	0.0024493890814483166	1.0	20.0
239634	0.0024498901329934597	0.0	22.0
82342	0.0024604250211268663	0.0	23.0
216039	0.0024615407455712557	0.0	12.0
371652	0.002467474667355418	0.0	10.0
177038	0.00246910797432065	0.0	21.0
373184	0.0024702660739421844	0.0	13.0
328011	0.0024706104304641485	0.0	19.0
220197	0.002471856540068984	0.0	16.0
109450	0.0024723585229367018	0.0	19.0
171024	0.0024734227918088436	0.0	19.0
37580	0.0024747480638325214	0.0	14.0
140433	0.0024758761283010244	0.0	23.0
41864	0.002481144620105624	0.0	22.0
